stock_id,stock_name,stage,refusal
3299,帛漢股份有限公司,details,該 3299 公開發行公司不繼續公開發行！
3315,宣昶,details,該 3315 公開發行公司不繼續公開發行！
3367,英華達,details,該 3367 公開發行公司不繼續公開發行！
3383,新世紀,details,該 3383 公開發行公司不繼續公開發行！
3389,志遠電子股份有限公司,details,該 3389 公開發行公司不繼續公開發行！
3428,光燿科技股份有限公司,details,該 3428 公開發行公司不繼續公開發行！
3431,長天科技股份有限公司,details,該 3431 公開發行公司不繼續公開發行！
3452,益通光能科技股份有限公司,details,該 3452 公開發行公司不繼續公開發行！
3474,華亞科,details,該 3474 公開發行公司不繼續公開發行！
3514,昱晶,details,該 3514 公開發行公司不繼續公開發行！
3519,綠能,details,該 3519 公開發行公司不繼續公開發行！
3534,雷凌,details,該 3534 公開發行公司不繼續公開發行！
3536,誠創,details,該 3536 公開發行公司不繼續公開發行！
3553,力積電子股份有限公司,details,該 3553 公開發行公司不繼續公開發行！
3559,全智科,details,該 3559 公開發行公司不繼續公開發行！
3561,昇陽光電,details,該 3561 公開發行公司不繼續公開發行！
3562,頂晶科技股份有限公司,details,該 3562 公開發行公司不繼續公開發行！
3573,穎台,details,該 3573 公開發行公司不繼續公開發行！
3579,尚志,details,該 3579 公開發行公司不繼續公開發行！
3582,凌耀科技股份有限公司,details,該 3582 公開發行公司不繼續公開發行！
3584,介面,details,該 3584 公開發行公司不繼續公開發行！
3598,奕力,details,該 3598 上市公司已下市！
3599,旺能,details,該 3599 公開發行公司不繼續公開發行！
