index,ticker,name,in_date,in_source,out_date,out_source
코스닥 150,094840,슈프리마에이치큐,,initial,2016-06-10,log
코스닥 150,095500,미래나노텍,,initial,2014-12-12,log
코스닥 150,095660,네오위즈,,initial,2018-06-15,log
코스닥 150,095910,에스에너지,,initial,2011-12-09,log
코스닥 150,099660,신텍,,initial,2011-12-13,log
코스닥 150,101680,한국정밀기계,,initial,2013-06-14,log
코스닥 150,102710,이엔에프테크놀로지,,initial,2014-12-12,log
코스닥 150,102940,코오롱생명과학,,initial,2019-08-21,log
코스닥 150,034940,조아제약,2010-03-30,log,2010-06-11,log
코스닥 150,040420,정상제이엘에스,2010-04-29,log,2013-06-14,log
코스닥 150,016170,카카오M,2010-06-11,log,2010-12-10,log
코스닥 150,029480,케이디씨,2010-06-11,log,2012-12-14,log
코스닥 150,030530,원익홀딩스,2010-06-11,log,2023-12-15,log
코스닥 150,036540,SFA반도체,2010-06-11,log,2014-06-13,log
코스닥 150,036710,심텍홀딩스,2010-06-11,log,2015-12-11,log
코스닥 150,037370,EG,2010-06-11,log,2015-06-12,log
코스닥 150,039560,다산네트웍스,2010-06-11,log,2012-12-14,log
코스닥 150,043650,국순당,2010-06-11,log,2012-12-14,log
코스닥 150,043890,한빛방송,2010-06-11,log,2010-12-10,log
코스닥 150,052270,우전앤한단,2010-06-11,log,2010-12-10,log
코스닥 150,052860,아이앤씨,2010-06-11,log,2011-06-10,log
코스닥 150,062860,티엘아이,2010-06-11,log,2011-06-10,log
코스닥 150,063080,게임빌,2010-06-11,log,2019-12-13,log
코스닥 150,078070,유비쿼스홀딩스,2010-06-11,log,2011-12-09,log
코스닥 150,078340,컴투스,2010-06-11,log,,
코스닥 150,087220,스틸플라워,2010-06-11,log,2014-06-13,log
코스닥 150,099220,SDN,2010-06-11,log,2012-12-14,log
코스닥 150,100130,동국S&C,2010-06-11,log,2019-06-14,log
코스닥 150,101730,위메이드맥스,2010-06-11,log,2010-12-10,log
코스닥 150,110310,모린스,2010-06-11,log,2011-06-10,log
코스닥 150,031980,피에스케이홀딩스,2010-06-18,log,2011-12-09,log
코스닥 150,006910,보성파워텍,2010-12-10,log,2011-12-09,log
코스닥 150,012650,쌍용건설,2010-12-10,log,2013-03-27,log
코스닥 150,036210,태산엘시디,2010-12-10,log,2012-06-15,log
코스닥 150,038880,씨앤에스,2010-12-10,log,2012-12-14,log
코스닥 150,041140,넥슨지티,2010-12-10,log,2018-12-14,log
코스닥 150,041510,에스엠,2010-12-10,log,,
코스닥 150,043370,평화정공,2010-12-10,log,2019-06-14,log
코스닥 150,050470,CT&T,2010-12-10,log,2011-03-29,log
코스닥 150,051370,인터플렉스,2010-12-10,log,2015-12-11,log
코스닥 150,051820,아이피에스,2010-12-10,log,2010-12-29,log
코스닥 150,078160,메디포스트,2010-12-10,log,2021-12-10,log
코스닥 150,080000,에스엔유,2010-12-10,log,2014-12-12,log
코스닥 150,082270,젬백스,2010-12-10,log,2020-03-25,log
코스닥 150,084370,유진테크,2010-12-10,log,2019-06-14,log
코스닥 150,096640,멜파스,2010-12-10,log,2014-12-12,log
코스닥 150,112040,위메이드,2010-12-10,log,,
코스닥 150,115160,휴맥스,2010-12-10,log,2016-12-09,log
코스닥 150,036000,예림당,2010-12-29,log,2011-12-09,log
코스닥 150,067160,SOOP,2010-12-29,log,2011-06-10,log
코스닥 150,079950,LIG에이디피,2011-03-21,log,2011-12-09,log
코스닥 150,036890,진성티이씨,2011-03-25,log,2015-06-12,log
코스닥 150,032500,케이엠더블유,2011-03-29,log,2011-06-10,log
코스닥 150,054620,APS홀딩스,2011-03-29,log,2014-12-12,log
코스닥 150,080520,오디텍,2011-04-01,log,2011-12-09,log
코스닥 150,101390,아이엠,2011-04-08,log,2011-06-10,log
코스닥 150,009520,포스코엠텍,2011-06-10,log,2015-06-12,log
코스닥 150,016170,카카오M,2011-06-10,log,2018-08-30,log
