ticker,name,market,delisting_date,reason,is_genuine
323940,케이비제18호스팩,KOSDAQ,2022-02-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
211050,인카금융서비스,KONEX,2022-02-16,코스닥시장 이전상장,N
323210,이베스트이안스팩1호,KOSDAQ,2022-02-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
007630,폴루스바이오팜,KOSPI,2022-02-22,감사의견 의견거절 2년 계속,Y
114570,지스마트글로벌,KOSDAQ,2022-02-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
327970,케어룸의료산업,KONEX,2022-03-11,상장폐지 신청,Y
225330,씨엠에스에듀,KOSDAQ,2022-03-17,피흡수합병,N
138250,엔에스쇼핑,KOSPI,2022-03-22,지주회사(최대주주등)의 완전자회사화 등,N
329560,상상인이안제2호스팩,KOSDAQ,2022-04-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
066110,한프,KOSDAQ,2022-04-06,감사의견 거절(감사범위 제한),Y
153360,하이골드3호,KOSPI,2022-04-11,감사의견 부적정,Y
270020,이십일스토어,KONEX,2022-04-14,사업보고서 법정제출기한('22.3.31限) 내 미제출,Y
041140,넥슨지티,KOSDAQ,2022-04-15,피흡수합병,N
039670,스포츠서울,KOSDAQ,2022-04-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
053660,현진소재,KOSDAQ,2022-04-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
225850,미애부,KONEX,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),Y
225860,엠앤씨생명과학,KONEX,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),Y
330990,케이비제19호스팩,KOSDAQ,2022-05-09,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
240340,인터코스,KONEX,2022-05-17,외부감사인의 감사의견 의견거절,Y
950180,SNK,KOSDAQ,2022-05-18,상장폐지 신청('22.04.14),Y
052190,세영디앤씨,KOSDAQ,2022-05-27,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
