index,date,n_actual,n_recon,matches,only_actual,only_recon,only_actual_tickers,only_recon_tickers
코스피 200,2022-04-29,200,200,200,0,0,,
코스피 200,2022-05-31,200,200,200,0,0,,
코스피 200,2022-06-30,200,200,200,0,0,,
코스피 200,2022-07-29,200,200,200,0,0,,
코스피 200,2022-08-31,200,200,200,0,0,,
코스피 200,2022-09-30,200,200,200,0,0,,
코스피 200,2022-10-31,200,200,200,0,0,,
코스피 200,2022-11-30,200,200,200,0,0,,
코스피 200,2023-01-31,200,200,200,0,0,,
코스피 200,2023-02-28,200,200,200,0,0,,
코스피 200,2023-03-31,200,200,200,0,0,,
코스피 200,2023-04-28,200,200,200,0,0,,
코스피 200,2023-05-31,200,200,200,0,0,,
코스피 200,2023-06-30,200,200,200,0,0,,
코스피 200,2023-07-31,200,200,200,0,0,,
코스피 200,2023-08-31,200,200,200,0,0,,
코스피 200,2023-10-31,200,200,200,0,0,,
코스피 200,2023-11-30,200,200,200,0,0,,
코스피 200,2024-01-31,200,200,200,0,0,,
코스피 200,2024-02-29,200,200,200,0,0,,
코스피 200,2024-03-29,200,200,200,0,0,,
코스피 200,2024-04-30,200,200,200,0,0,,
코스피 200,2024-05-31,200,200,200,0,0,,
코스피 200,2024-06-28,200,200,200,0,0,,
코스피 200,2024-07-31,200,200,200,0,0,,
코스피 200,2024-08-30,200,200,200,0,0,,
코스피 200,2024-09-30,201,201,201,0,0,,
코스피 200,2024-10-31,201,201,201,0,0,,
코스피 200,2024-11-29,201,201,201,0,0,,
코스피 200,2025-01-31,200,200,200,0,0,,
코스피 200,2025-02-28,200,200,200,0,0,,
코스피 200,2025-03-31,200,200,200,0,0,,
코스피 200,2025-04-30,200,200,200,0,0,,
코스피 200,2025-05-30,200,200,200,0,0,,
코스피 200,2025-06-30,200,200,200,0,0,,
코스피 200,2025-07-31,200,200,200,0,0,,
코스피 200,2025-08-29,200,200,200,0,0,,
코스피 200,2025-09-30,200,200,200,0,0,,
코스피 200,2025-10-31,200,200,200,0,0,,
코스피 200,2025-11-28,200,200,200,0,0,,
코스피 200,2026-01-30,200,200,200,0,0,,
코스피 200,2026-02-27,200,200,200,0,0,,
코스닥 150,2015-07-31,150,150,150,0,0,,
코스닥 150,2015-08-31,150,150,150,0,0,,
코스닥 150,2015-09-30,150,150,150,0,0,,
코스닥 150,2015-10-30,150,150,150,0,0,,
코스닥 150,2015-11-30,150,150,150,0,0,,
코스닥 150,2016-01-29,150,150,150,0,0,,
코스닥 150,2016-02-29,150,150,150,0,0,,
코스닥 150,2016-03-31,150,150,150,0,0,,
코스닥 150,2016-04-29,150,150,150,0,0,,
코스닥 150,2016-05-31,150,150,150,0,0,,
코스닥 150,2016-06-30,150,150,150,0,0,,
코스닥 150,2016-07-29,150,150,150,0,0,,
코스닥 150,2016-08-31,150,150,150,0,0,,
코스닥 150,2016-09-30,150,150,150,0,0,,
코스닥 150,2016-10-31,150,150,150,0,0,,
코스닥 150,2016-11-30,150,150,150,0,0,,
코스닥 150,2017-01-31,150,150,150,0,0,,
코스닥 150,2017-02-28,150,150,150,0,0,,
코스닥 150,2017-03-31,150,150,150,0,0,,
코스닥 150,2017-04-28,150,150,150,0,0,,
코스닥 150,2017-05-31,150,150,150,0,0,,
코스닥 150,2017-06-30,150,150,150,0,0,,
코스닥 150,2017-07-31,150,150,150,0,0,,
코스닥 150,2017-08-31,150,150,150,0,0,,
코스닥 150,2017-09-29,150,150,150,0,0,,
코스닥 150,2017-10-31,150,150,150,0,0,,
코스닥 150,2017-11-30,150,150,150,0,0,,
코스닥 150,2018-01-31,150,150,150,0,0,,
코스닥 150,2018-02-28,150,150,150,0,0,,
코스닥 150,2018-03-30,150,150,150,0,0,,
코스닥 150,2018-04-30,150,150,150,0,0,,
코스닥 150,2018-05-31,150,150,150,0,0,,
코스닥 150,2018-06-29,150,150,150,0,0,,
코스닥 150,2018-07-31,150,150,150,0,0,,
코스닥 150,2018-08-31,150,150,150,0,0,,
코스닥 150,2018-09-28,150,150,150,0,0,,
코스닥 150,2018-10-31,150,150,150,0,0,,
코스닥 150,2018-11-30,150,150,150,0,0,,
코스닥 150,2019-01-31,150,150,150,0,0,,
코스닥 150,2019-02-28,150,150,150,0,0,,
코스닥 150,2019-03-29,150,150,150,0,0,,
코스닥 150,2019-04-30,150,150,150,0,0,,
코스닥 150,2019-05-31,149,149,149,0,0,,
코스닥 150,2019-06-28,150,150,150,0,0,,
코스닥 150,2019-07-31,150,150,150,0,0,,
코스닥 150,2019-08-30,150,150,150,0,0,,
코스닥 150,2019-09-30,150,150,150,0,0,,
코스닥 150,2019-10-31,150,150,150,0,0,,
코스닥 150,2019-11-29,150,150,150,0,0,,
코스닥 150,2020-01-31,150,150,150,0,0,,
코스닥 150,2020-02-28,150,150,150,0,0,,
코스닥 150,2020-03-31,150,150,150,0,0,,
코스닥 150,2020-05-29,150,150,150,0,0,,
코스닥 150,2020-06-30,150,150,150,0,0,,
코스닥 150,2020-07-31,150,150,150,0,0,,
코스닥 150,2020-08-31,150,150,150,0,0,,
코스닥 150,2020-10-30,150,150,150,0,0,,
코스닥 150,2020-11-30,150,150,150,0,0,,
코스닥 150,2021-01-29,150,150,150,0,0,,
코스닥 150,2021-02-26,150,150,150,0,0,,
코스닥 150,2021-03-31,150,150,150,0,0,,
코스닥 150,2021-04-30,150,150,150,0,0,,
코스닥 150,2021-05-31,150,150,150,0,0,,
코스닥 150,2021-06-30,150,150,150,0,0,,
코스닥 150,2021-07-30,150,150,150,0,0,,
코스닥 150,2021-08-31,150,150,150,0,0,,
코스닥 150,2021-09-30,150,150,150,0,0,,
코스닥 150,2021-10-29,150,150,150,0,0,,
코스닥 150,2021-11-30,149,149,149,0,0,,
코스닥 150,2022-02-28,150,150,150,0,0,,
코스닥 150,2022-03-31,150,150,150,0,0,,
코스닥 150,2022-04-29,150,150,150,0,0,,
코스닥 150,2022-05-31,150,150,150,0,0,,
코스닥 150,2022-06-30,150,150,150,0,0,,
코스닥 150,2022-07-29,150,150,150,0,0,,
코스닥 150,2022-08-31,150,150,150,0,0,,
코스닥 150,2022-09-30,150,150,150,0,0,,
코스닥 150,2022-10-31,150,150,150,0,0,,
코스닥 150,2022-11-30,150,150,150,0,0,,
코스닥 150,2023-01-31,150,150,150,0,0,,
코스닥 150,2023-02-28,150,150,150,0,0,,
코스닥 150,2023-03-31,150,150,150,0,0,,
코스닥 150,2023-04-28,150,150,150,0,0,,
코스닥 150,2023-05-31,150,150,150,0,0,,
코스닥 150,2023-06-30,150,150,150,0,0,,
코스닥 150,2023-07-31,150,150,150,0,0,,
코스닥 150,2023-08-31,150,150,150,0,0,,
코스닥 150,2023-10-31,150,150,150,0,0,,
코스닥 150,2023-11-30,150,150,150,0,0,,
코스닥 150,2024-01-31,150,150,150,0,0,,
코스닥 150,2024-02-29,150,150,150,0,0,,
코스닥 150,2024-03-29,150,150,150,0,0,,
코스닥 150,2024-04-30,150,150,150,0,0,,
코스닥 150,2024-05-31,150,150,150,0,0,,
코스닥 150,2024-06-28,150,150,150,0,0,,
코스닥 150,2024-07-31,150,150,150,0,0,,
코스닥 150,2024-08-30,150,150,150,0,0,,
코스닥 150,2024-09-30,150,150,150,0,0,,
코스닥 150,2024-10-31,150,150,150,0,0,,
코스닥 150,2024-11-29,150,150,150,0,0,,
코스닥 150,2025-01-31,150,150,150,0,0,,
코스닥 150,2025-02-28,150,150,150,0,0,,
코스닥 150,2025-03-31,150,150,150,0,0,,
코스닥 150,2025-04-30,150,150,150,0,0,,
코스닥 150,2025-05-30,150,150,150,0,0,,
코스닥 150,2025-06-30,150,150,150,0,0,,
코스닥 150,2025-07-31,150,150,150,0,0,,
코스닥 150,2025-08-29,150,150,150,0,0,,
코스닥 150,2025-09-30,150,150,150,0,0,,
코스닥 150,2025-10-31,150,150,150,0,0,,
코스닥 150,2025-11-28,150,150,150,0,0,,
코스닥 150,2026-01-30,150,150,150,0,0,,
코스닥 150,2026-02-27,150,150,150,0,0,,
